Country,LifeExpectancy , BMI ,GDP,Schooling
New Zealand,81.6,67.5,3821.8937,19.2
Nicaragua,74.8,54,295.966488,11.7
Niger,61.8,19.3,358.99731,5.4
Nigeria,54.5,25.4,2655.157977,10
Norway,81.8,61.2,7455.24654,17.7
Oman,76.6,54.6,16627.36433,13.7
Pakistan,66.4,25.4,1431.244865,8.1
Panama,77.8,57.8,13134.4367,13
Papua New Guinea,62.9,48.6,,10
Paraguay,74,5.2,419.367724,12.3
Peru,75.5,55.6,63.343259,13.4
Philippines,68.5,25.4,2878.33837,11.7
Poland,77.5,61.7,12565.9876,16.4
Portugal,81.1,61.6,1922.681,16.6
Qatar,78.2,69.3,66346.52267,13.4
Romania,75,6.7,8958.788593,14.7
Russian Federation,75,6.5,9329.298351,15
Rwanda,66.1,21.4,71.348397,10.8
Saint Lucia,75.2,47.5,,13.1
Saint Vincent and the Grenadines,73.2,54.1,,13.3
Samoa,74,74.7,4149.363444,12.9
Sao Tome and Principe,67.5,3.9,1624.63963,11.2
Saudi Arabia,74.5,68.2,2732.86172,16.1
Senegal,66.7,24.3,98.7256145,9.5
Serbia,75.6,6,5237.255334,14.4
Seychelles,73.2,37.4,1539.464,14.1
Sierra Leone,51,24.4,587.538233,9.5
Singapore,83.1,33.2,53629.73746,15.4
Slovakia,76.7,59.1,,15
Slovenia,88,6.1,2729.86383,17.3
Solomon Islands,69.2,5.5,1922.41388,9.6
South Africa,62.9,51.1,5769.77258,13
Spain,82.8,66.6,25683.84565,17.7
Sri Lanka,74.9,23.4,3844.89123,14
Suriname,71.6,58.3,8818.982566,12.7
Swaziland,58.9,32.3,3136.92511,11.4
Sweden,82.4,59.5,5585.25847,15.9
Switzerland,83.4,57.4,8989.8424,16
Syrian Arab Republic,64.5,57.1,,9
Tajikistan,69.7,4.7,918.6771543,11.3
Thailand,74.9,33.6,5814.863134,13.6
The former Yugoslav republic of Macedonia,75.7,6.3,,12.9
Timor-Leste,68.3,17.4,1161.76935,12.5
Togo,59.9,24.3,551.138346,12
Tonga,73.5,75.2,493.775387,14.3
Trinidad and Tobago,71.2,47.1,17321.83373,12.7
Tunisia,75.3,61.2,3828.91589,14.6
Turkey,75.8,66.1,1979.52569,14.5
Turkmenistan,66.3,48.6,6432.668768,10.8
Uganda,62.3,18.5,693.8963829,10
Ukraine,71.3,61.3,2124.662666,15.3
United Arab Emirates,77.1,64.2,3911.74689,13.3
Uruguay,77,64,15524.84247,15.5
Uzbekistan,69.4,44.7,2137.576852,12.1
Vanuatu,72,53.3,285.83414,10.8
Venezuela (Bolivarian Republic of),74.1,62.1,,14.3
Viet Nam,76,17.5,,12.6
Yemen,65.7,41.3,,9
Zambia,61.8,23.4,1313.889646,12.5
Zimbabwe,67,31.8,118.69383,10.3
